date;rembourse;status;avis;note;ID_compte;id_produit;quantite
2021-05-13 16:41:40.947089;False;Livré;Aliquam dolorem sit etincidunt.;;5064;2814;236
2021-05-13 16:41:40.947106;False;En cours;;2;5710;8163;11
2021-05-14 16:41:40.947120;False;En cours;Consectetur sit magnam dolore quiquia.;;4682;2662;215
2021-05-10 16:41:40.947130;False;En cours;Sed non dolore labore voluptatem ipsum quaerat.;;7295;8441;2
2021-05-07 16:41:40.947135;False;En cours;;5;6228;7656;179
2021-05-09 16:41:40.947139;False;Livré;;;9140;3272;19
2021-05-15 16:41:40.947143;False;Livré;;;5908;8478;98
2021-05-09 16:41:40.947147;False;En cours;;;709;6892;111
2021-05-15 16:41:40.947151;True;Annulé;;4;9245;6801;45
2021-05-06 16:41:40.947155;False;Annulé;;;3495;3220;4
2021-05-09 16:41:40.947160;False;Annulé;;;3209;7442;116
2021-05-14 16:41:40.947170;False;Livré;Magnam voluptatem consectetur etincidunt quisquam non quiquia.;;8699;4709;109
2021-05-13 16:41:40.947181;False;Livré;Eius velit porro dolor porro labore consectetur etincidunt.;0;5347;4690;15
2021-05-10 16:41:40.947185;False;Livré;;2;6126;471;99
2021-05-09 16:41:40.947188;False;Livré;;;3145;5148;19
2021-05-09 16:41:40.947197;False;En cours;Non voluptatem consectetur sit ipsum.;4;457;8322;68
2021-05-12 16:41:40.947206;False;Livré;Neque adipisci tempora dolore.;2;6479;2994;161
2021-05-12 16:41:40.947209;False;Livré;;3;78;9044;41
2021-05-12 16:41:40.947219;False;En cours;Velit quiquia consectetur magnam magnam numquam voluptatem dolore.;3;7808;65;28
2021-05-14 16:41:40.947228;False;Livré;Quaerat consectetur dolorem sed porro eius.;;1935;7739;282
2021-05-11 16:41:40.947232;False;Annulé;;5;6485;7364;70
2021-05-15 16:41:40.947236;True;Annulé;;4;4959;7270;2
2021-05-10 16:41:40.947246;True;Annulé;Modi consectetur quisquam voluptatem quiquia ipsum quisquam amet.;;1856;5420;491
2021-05-15 16:41:40.947256;True;Annulé;Tempora voluptatem ut modi ipsum adipisci.;;5221;6804;22
2021-05-13 16:41:40.947265;False;Annulé;Quiquia adipisci consectetur quisquam sed.;;3784;518;135
2021-05-11 16:41:40.947268;False;Livré;;;7749;7414;257
2021-05-12 16:41:40.947272;True;Annulé;;;6553;4678;157
2021-05-15 16:41:40.947275;False;Annulé;;;4692;9566;346
2021-05-10 16:41:40.947279;False;Annulé;;0;9522;4269;76
2021-05-07 16:41:40.947289;False;En cours;Neque magnam dolore etincidunt porro dolorem tempora.;0;1454;7062;140
2021-05-15 16:41:40.947297;False;En cours;Quisquam tempora voluptatem numquam dolore.;;5549;206;230
2021-05-09 16:41:40.947306;True;Annulé;Quiquia quaerat numquam est magnam etincidunt modi adipisci.;5;5295;8984;193
2021-05-13 16:41:40.947310;False;En cours;;;118;6635;45
2021-05-13 16:41:40.947313;False;Livré;;;5827;1481;56
2021-05-10 16:41:40.947317;False;En cours;;4;4442;8545;176
2021-05-14 16:41:40.947320;False;En cours;;;8937;7213;323
2021-05-09 16:41:40.947330;False;Livré;Labore labore amet modi.;;5941;3689;10
2021-05-07 16:41:40.947334;True;Annulé;;2;3123;874;221
2021-05-14 16:41:40.947337;False;En cours;;;8197;9723;291
2021-05-14 16:41:40.947346;True;Annulé;Magnam consectetur sed numquam.;5;8052;8715;178
2021-05-12 16:41:40.947356;False;Annulé;Quisquam ut amet porro sed amet eius neque.;5;3531;7123;261
2021-05-14 16:41:40.947364;True;Annulé;Voluptatem magnam ipsum adipisci.;;197;3103;12
2021-05-11 16:41:40.947368;False;Annulé;;0;5342;7138;72
2021-05-15 16:41:40.947377;False;En cours;Adipisci velit tempora labore adipisci quisquam ut est.;;9734;7762;8
2021-05-13 16:41:40.947384;False;En cours;Amet porro quaerat neque.;1;6528;7666;0
2021-05-15 16:41:40.947388;False;Annulé;;;4144;2563;10
2021-05-07 16:41:40.947391;False;En cours;;;2166;7455;214
2021-05-11 16:41:40.947395;False;Livré;;;2283;6432;161
2021-05-13 16:41:40.947398;False;Livré;;4;2900;2235;77
2021-05-12 16:41:40.947403;True;Annulé;;;3380;1666;181
2021-05-09 16:41:40.947409;False;Livré;;1;7319;5894;39
2021-05-08 16:41:40.947417;False;Annulé;Ipsum quiquia aliquam consectetur etincidunt quaerat.;;2264;5054;198
2021-05-11 16:41:40.947422;False;Annulé;;1;1105;6726;142
2021-05-13 16:41:40.947426;True;Annulé;;0;8197;9356;224
2021-05-08 16:41:40.947429;True;Annulé;;;4710;7017;108
2021-05-07 16:41:40.947437;False;Livré;Sed amet eius amet.;2;3914;3824;154
2021-05-15 16:41:40.947441;False;Livré;;5;9590;9343;220
2021-05-08 16:41:40.947445;True;Annulé;;0;2155;3075;155
2021-05-14 16:41:40.947448;False;En cours;;;6803;5322;0
2021-05-07 16:41:40.947452;False;Annulé;;;7790;7522;101
2021-05-13 16:41:40.947456;False;Livré;;;137;389;121
2021-05-07 16:41:40.947459;False;En cours;;3;7600;6449;62
2021-05-07 16:41:40.947472;False;Annulé;Modi magnam magnam labore.;;1931;7684;88
2021-05-10 16:41:40.947476;False;Livré;;;8340;4026;18
2021-05-14 16:41:40.947484;False;Livré;Tempora consectetur magnam quisquam.;3;2485;8090;14
2021-05-06 16:41:40.947488;False;En cours;;5;1624;804;50
2021-05-08 16:41:40.947492;False;En cours;;;1799;8797;121
2021-05-13 16:41:40.947501;False;Annulé;Dolore labore modi non etincidunt amet non.;5;3128;4382;152
2021-05-14 16:41:40.947505;False;Annulé;;4;8626;5951;5
2021-05-15 16:41:40.947513;False;Livré;Dolore quaerat consectetur numquam neque velit.;3;1552;9751;106
2021-05-10 16:41:40.947521;False;En cours;Numquam voluptatem eius dolore amet.;;9303;3885;158
2021-05-13 16:41:40.947525;False;Livré;;3;6668;6586;343
2021-05-10 16:41:40.947528;True;Annulé;;;745;9747;343
2021-05-08 16:41:40.947532;False;Annulé;;;732;2223;185
2021-05-07 16:41:40.947544;False;En cours;Dolorem sed adipisci magnam magnam.;4;5422;1712;53
2021-05-12 16:41:40.947549;False;Livré;;;3585;1890;191
2021-05-12 16:41:40.947557;False;Annulé;Porro amet amet non.;2;9166;4639;59
2021-05-11 16:41:40.947566;False;En cours;Tempora voluptatem ut labore labore.;;311;3110;55
2021-05-12 16:41:40.947575;True;Annulé;Velit dolore ut aliquam dolore velit tempora.;;3601;599;30
2021-05-09 16:41:40.947584;False;En cours;Non velit numquam quaerat quisquam velit modi.;;4417;9585;169
2021-05-06 16:41:40.947588;False;Livré;;0;48;9781;5
2021-05-06 16:41:40.947597;True;Annulé;Dolore neque tempora sed quisquam.;0;172;3784;135
2021-05-08 16:41:40.947606;False;En cours;Ut velit ipsum ipsum neque non velit sed.;;6883;7863;16
2021-05-08 16:41:40.947614;False;Livré;Quiquia porro dolorem modi etincidunt non.;;1354;8725;35
2021-05-06 16:41:40.947622;False;Livré;Velit aliquam magnam aliquam porro.;;3183;3058;167
2021-05-08 16:41:40.947631;False;Livré;Aliquam amet dolor non dolore velit dolorem.;3;7518;8914;453
2021-05-13 16:41:40.947635;False;Livré;;5;3864;6518;20
2021-05-14 16:41:40.947645;True;Annulé;Adipisci sed quaerat adipisci sit ut non sit.;;8685;7445;139
2021-05-15 16:41:40.947650;False;En cours;;4;4822;4829;55
2021-05-08 16:41:40.947654;False;Annulé;;1;7220;5006;106
2021-05-09 16:41:40.947663;False;En cours;Est ipsum dolore dolor modi numquam etincidunt.;;8203;3444;128
2021-05-10 16:41:40.947672;False;Livré;Sit sit voluptatem labore dolor magnam dolore ut.;;6723;7547;14
2021-05-13 16:41:40.947676;False;Livré;;;4176;2513;391
2021-05-09 16:41:40.947684;True;Annulé;Dolor ut neque dolore consectetur.;1;6376;7512;226
2021-05-06 16:41:40.947688;False;En cours;;5;6384;6021;205
2021-05-12 16:41:40.947696;False;Livré;Voluptatem labore porro ipsum.;;1223;9548;4
2021-05-15 16:41:40.947705;False;En cours;Quiquia numquam sit numquam sit amet velit aliquam.;4;8048;5051;89
2021-05-12 16:41:40.947714;False;Livré;Magnam ut dolorem non neque magnam voluptatem.;;9665;6059;82
2021-05-11 16:41:40.947718;False;Annulé;;;8559;5982;152
2021-05-15 16:41:40.947726;False;En cours;Labore eius porro aliquam aliquam modi consectetur.;;1518;822;2
2021-05-13 16:41:40.947731;False;Annulé;;4;9217;2030;48
2021-05-15 16:41:40.947740;False;En cours;Neque magnam etincidunt tempora sed quisquam.;;8365;8628;312
2021-05-06 16:41:40.947744;False;En cours;;3;6805;2950;16
2021-05-15 16:41:40.947748;False;Livré;;2;4466;1948;121
2021-05-12 16:41:40.947752;False;Annulé;;4;6433;8493;100
2021-05-13 16:41:40.947755;False;Annulé;;;6399;436;38
2021-05-06 16:41:40.947759;False;En cours;;2;4660;4414;21
2021-05-11 16:41:40.947767;False;Annulé;Quisquam eius labore adipisci.;;1651;4530;38
2021-05-11 16:41:40.947771;False;Livré;;3;2334;214;81
2021-05-11 16:41:40.947774;False;Annulé;;;5498;2100;73
2021-05-06 16:41:40.947778;False;Livré;;;7525;8735;197
2021-05-09 16:41:40.947787;False;En cours;Etincidunt est dolore adipisci dolore tempora dolor.;4;8240;4944;84
2021-05-11 16:41:40.947792;False;En cours;;1;4634;8678;44
