ID_compte;ID_visiteur;ID_produit;quantite
5565;;6349;21
2079;;566;33
274;;5371;50
;5102;6608;5
6264;;6640;154
;9783;6611;355
6653;;2980;183
;5264;8752;46
;4407;2246;25
;7712;7944;65
4930;;1464;66
8926;;1116;61
;6065;9564;302
1077;;381;3
3633;;8085;51
;3573;6655;121
;4905;1639;164
;7104;115;316
336;;6784;92
;8541;1098;38
2726;;847;86
;5378;9698;113
5408;;4616;52
;2673;3370;86
;8141;8022;266
;557;4966;243
3841;;208;77
9016;;8036;10
8809;;7079;5
;8205;5572;117
;6056;1503;81
2481;;1404;0
;4650;4364;67
9189;;1405;331
5838;;8676;163
8678;;8005;130
5755;;3980;79
;4882;6707;217
;8932;6360;136
;3431;4480;121
;8109;7381;132
;2494;2513;76
7733;;4585;54
;3863;1060;167
;4642;8278;57
4809;;9215;36
4064;;5670;38
;8402;8745;232
9725;;8714;184
6867;;1547;35
5015;;5066;87
3810;;7030;23
;3427;703;56
;8632;587;148
;9934;9252;163
;9767;580;268
;6046;2630;93
;7312;6330;3
;8434;9446;236
5965;;2114;4
;2926;9189;145
4077;;7435;90
;1731;8379;167
;6747;6701;285
;7762;8354;54
;5575;2091;9
;2827;8232;114
;1159;1303;15
;4487;4401;57
1312;;1801;4
9480;;6970;21
6343;;7734;173
5668;;4866;54
;5068;8454;350
;187;3588;23
1005;;5248;1
7677;;5625;359
3658;;61;56
;5017;1732;187
;2405;8554;167
3633;;2700;92
9051;;635;48
;3980;3556;140
8003;;950;24
2035;;7165;201
1925;;3163;231
4522;;7956;37
8663;;7186;127
;1518;2006;319
4221;;5073;73
;5204;8906;8
3709;;7480;8
;6417;8206;14
1603;;1698;66
;1255;3884;362
7403;;7558;187
;9569;7723;69
;1547;2228;49
;7159;135;54
;4707;3598;175
9567;;9265;239
3973;;5728;41
225;;3300;354
;6809;4604;19
9007;;3305;231
;7265;4718;154
5737;;2820;100
;3844;6469;37
3057;;7924;55
8200;;842;0
;8900;6707;193
;2080;1497;130
9916;;9868;79
;5352;8221;56
4481;;6038;216
8703;;9210;242
;6230;5622;12
;9993;5218;211
;9036;9696;44
3741;;4820;29
4483;;7853;107
9082;;2153;108
8343;;8292;175
;9607;3703;85
;2798;9649;184
;6437;7956;128
4846;;7329;68
9703;;765;37
6665;;7686;9
;6371;4149;7
8404;;1803;156
