stock;prix;nom;péremption;bio;marque;label_bio;provenance;type_produit
294;1.0500664150203134;Courgette;2021-06-02 23:36:06.098336;True;;Bio cohérence;Occitanie;Légume
19;1.7624858071534135;Aubergine;2021-06-02 23:36:06.098352;False;;;Bougogne Franche Compte;Légume
263;1.0190902301695968;Oignon;2021-06-03 23:36:06.098357;True;;AB;Hauts de France;Légume
481;2.104650217320434;Poivron;2021-06-04 23:36:06.098363;False;;;Bougogne Franche Compte;Légume
105;2.227078485459058;Haricot vert;2021-06-03 23:36:06.098368;True;;Bio partenaire;Centre-Val de Loire;Légume
174;1.9683464621268258;Mais;2021-06-01 23:36:06.098372;False;;;Grand Est;Légume
164;1.4046244658742806;Mais;2021-06-04 23:36:06.098375;False;;;Hauts de France;Légume
422;2.1455168963943345;Oignon;2021-06-04 23:36:06.098379;False;;;Bougogne Franche Compte;Légume
94;1.4646271983556889;Bettrave;2021-06-03 23:36:06.098382;True;;AB;Grand Est;Légume
384;1.6023824220012663;Aubergine;2021-06-01 23:36:06.098387;True;;Bio partenaire;Provence-Alpes-Cote d'Azur;Légume
184;0.8645069517467292;Poivron;2021-06-02 23:36:06.098390;False;;;Grand Est;Légume
381;0.9345898987296885;Courgette;2021-06-04 23:36:06.098394;True;;AB;Ile de France;Légume
38;1.891028757867907;Mais;2021-06-02 23:36:06.098397;False;;;Hauts de France;Légume
404;1.7083386507415235;Oignon;2021-06-02 23:36:06.098401;False;;;Nouvelle Aquitaine;Légume
316;1.6046534803271704;Mais;2021-06-03 23:36:06.098404;False;;;Centre-Val de Loire;Légume
279;2.4187743725508963;Haricot rouge;2021-06-03 23:36:06.098408;True;;Bio partenaire;Ile de France;Légume
200;1.2180201272348647;Poireau;2021-06-04 23:36:06.098413;True;;AB;Ile de France;Légume
358;0.8702375205727751;Concombre;2021-06-03 23:36:06.098417;False;;;Hauts de France;Légume
134;1.3699541031980167;Courgette;2021-06-02 23:36:06.098421;True;;AB;Occitanie;Légume
462;1.0173667949030683;Mais;2021-06-02 23:36:06.098425;False;;;Nouvelle Aquitaine;Légume
469;1.991251897616687;Mais;2021-06-03 23:36:06.098429;True;;AB;Hauts de France;Légume
429;1.7603901785859057;Poivron;2021-06-02 23:36:06.098434;True;;AB;Occitanie;Légume
51;1.5208555758122937;Oignon;2021-06-03 23:36:06.098438;False;;;Nouvelle Aquitaine;Légume
429;1.2340506699415095;Concombre;2021-06-03 23:36:06.098442;True;;Bio partenaire;Pays de la Loire;Légume
